Lslg: 15.3|v0: 0.0|PtbgT: 0.0|Hplg: 0.0|Ltbg: 0.0|PcsgT: 721853.1591796875|gasflow: 0.0|tempo: 0.0|Qlres: 0.0|pp: 0.0|stage: 1.0|PcsgB: 0.0|
Lslg: 15.391762869807465|v0: 0.15896937016319854|PtbgT: 612962.0989314264|Hplg: 0.007544709977861443|Ltbg: 0.007228686148288073|PcsgT: 779934.5797253852|gasflow: 14853.120365802512|tempo: 0.4100000000000002|Qlres: 24.921342895641796|pp: 640876.5152754477|stage: 3.0|PcsgB: 852476.2365547731|
Lslg: 15.391762869807465|v0: 0.18220861252247256|PtbgT: 612963.0846154646|Hplg: 0.009250599891289799|Ltbg: 0.007228686148288073|PcsgT: 780786.88177159|gasflow: 14853.120365802512|tempo: 0.4200000000000002|Qlres: 24.921342895641796|pp: 640877.5463382823|stage: 3.0|PcsgB: 853409.9343743569|
Lslg: 15.391762869807465|v0: 0.28085394664887847|PtbgT: 612968.4215995335|Hplg: 0.01970178726562282|Ltbg: 0.014377971249864351|PcsgT: 784195.1840202493|gasflow: 14846.165766843666|tempo: 0.4300000000000002|Qlres: 24.90967410544239|pp: 640883.1290258169|stage: 3.0|PcsgB: 857143.7810133212|
Lslg: 15.391762869807465|v0: 0.30696007400070713|PtbgT: 612970.121070449|Hplg: 0.02264085736887075|Ltbg: 0.014377971249864351|PcsgT: 785047.0279001795|gasflow: 14846.165766843666|tempo: 0.4400000000000002|Qlres: 24.90967410544239|pp: 640884.9067368067|stage: 3.0|PcsgB: 858077.0008134787|
Lslg: 15.391762869807465|v0: 0.306937375073732|PtbgT: 612970.121070449|Hplg: 0.022901578158557083|Ltbg: 0.015807426107197712|PcsgT: 785047.0279001795|gasflow: 14844.772647477077|tempo: 0.45000000000000023|Qlres: 24.907336656840734|pp: 640884.9067368067|stage: 3.0|PcsgB: 858077.0008134787|
Lslg: 15.391762869807465|v0: 0.306937375073732|PtbgT: 612970.121070449|Hplg: 0.022901578158557083|Ltbg: 0.015807426107197712|PcsgT: 785047.0279001795|gasflow: 14844.772647477077|tempo: 0.46000000000000024|Qlres: 24.907336656840734|pp: 640884.9067368067|stage: 3.0|PcsgB: 858077.0008134787|
Lslg: 15.391762869807465|v0: 0.306937375073732|PtbgT: 612970.121070449|Hplg: 0.022901578158557083|Ltbg: 0.015807426107197712|PcsgT: 785047.0279001795|gasflow: 14844.772647477077|tempo: 0.47000000000000025|Qlres: 24.907336656840734|pp: 640884.9067368067|stage: 3.0|PcsgB: 858077.0008134787|
Lslg: 15.391762869807465|v0: 0.306937375073732|PtbgT: 612970.121070449|Hplg: 0.022901578158557083|Ltbg: 0.015807426107197712|PcsgT: 785047.0279001795|gasflow: 14844.772647477077|tempo: 0.48000000000000026|Qlres: 24.907336656840734|pp: 640884.9067368067|stage: 3.0|PcsgB: 858077.0008134787|
Lslg: 15.391762869807465|v0: 0.306937375073732|PtbgT: 612970.121070449|Hplg: 0.022901578158557083|Ltbg: 0.015807426107197712|PcsgT: 785047.0279001795|gasflow: 14844.772647477077|tempo: 0.49000000000000027|Qlres: 24.907336656840734|pp: 640884.9067368067|stage: 3.0|PcsgB: 858077.0008134787|
Lslg: 15.391762869807465|v0: 0.306937375073732|PtbgT: 612971.9731710675|Hplg: 0.022901578158557083|Ltbg: 0.015807426107197712|PcsgT: 785898.7770521666|gasflow: 14844.772647477077|tempo: 0.5000000000000002|Qlres: 24.907336656840734|pp: 640886.8441042649|stage: 3.0|PcsgB: 859010.1216161323|
